2;0.0003219600002921652;32
3;0.00018366200310993008;60
4;9.507699724053964e-05;96
5;0.000844916001369711;140
10;0.005905550002353266;480
15;0.006182615001307568;1020
20;0.004721010998764541;1760
30;0.005527638997591566;3840
40;0.001863329001935199;6720
50;0.0075405419993330725;10400
80;0.0005095670021546539;26240
90;0.0051218430016888306;33120
100;0.0071567269988008775;40800
110;0.009044065001944546;49280
120;0.007100250997609692;58560
150;0.002663215000211494;91200
170;0.0026979350004694425;116960
200;0.0038914469987503253;161600
250;0.005223788000876084;252000
300;0.07954126199911116;362400
400;0.10867158900146023;643200
500;0.024798778002150357;1004000
1000;0.12105944399809232;4008000
1500;0.1520673920022091;9012000
2000;0.2845307830029924;16016000
2500;0.41600869999820134;25020000
3000;0.6509624110003642;36024000
4000;1.4747541320029995;64032000
5000;2.7404015409993008;100040000
10000;20.44869875099903;400080000
