2;0.000186716002644971;32
3;8.593399979872629e-05;60
4;6.389100235537626e-05;96
5;5.955099913990125e-05;140
10;0.00033753399839042686;480
15;0.00012961399988853373;1020
20;0.00011406200064811856;1760
30;0.00022821399761596695;3840
40;0.011095415997260716;6720
50;0.00412252800015267;10400
80;0.02600191400051699;26240
90;0.007182706998719368;33120
100;0.007689603997278027;40800
110;0.007108906000212301;49280
120;0.00900151200039545;58560
150;0.014149641003314173;91200
170;0.006287999996857252;116960
200;0.011273074000200722;161600
250;0.007977065000886796;252000
300;0.03905986999961897;362400
400;0.010267544999805978;643200
500;0.021140868000657065;1004000
1000;0.025797718000831082;4008000
1500;0.05740084499848308;9012000
2000;0.11873946899868315;16016000
2500;0.21463071999824024;25020000
3000;0.3357257710013073;36024000
4000;0.6804666470015945;64032000
5000;1.0929713110017474;100040000
10000;7.117138809997414;400080000
