2;0.0001769740010786336;64
3;4.98569970659446e-05;120
4;4.403699858812615e-05;192
5;4.143000114709139e-05;280
10;4.876100138062611e-05;960
15;8.981300197774544e-05;2040
20;0.0036095199975534342;3520
30;0.003914775003067916;7680
40;0.0016138219980348367;13440
50;0.001457353002479067;20800
80;0.0017115989976446144;52480
90;0.0017758959984348621;66240
100;0.003874516001815209;81600
110;0.007070558000123128;98560
120;0.011010070000338601;117120
150;0.003926197998225689;182400
170;0.0015024070016806945;233920
200;0.0036126320010225754;323200
250;0.011595872998441337;504000
300;0.0032856349971552845;724800
400;0.022272496000368847;1286400
500;0.0075841460020456;2008000
1000;0.047684739001851995;8016000
1500;0.10132056099973852;18024000
2000;0.19477069500135258;32032000
2500;0.422208285999659;50040000
3000;0.5908737200006726;72048000
4000;1.5479364620005072;128064000
5000;2.2014105319976807;200080000
10000;17.256943127998966;800160000
