2;0.00016386599963880144;32
3;8.735200026421808e-05;60
4;7.798300066497177e-05;96
5;7.479000123566948e-05;140
10;0.006269202000112273;480
15;0.005651729999954114;1020
20;0.0019883360000676475;1760
30;0.00035187100002076477;3840
40;0.00032467400160385296;6720
50;0.0005634480003209319;10400
80;0.000543654001376126;26240
90;0.0007326939994527493;33120
100;0.0028512400022009388;40800
110;0.022615574001974892;49280
120;0.008278368000901537;58560
150;0.009487392999290023;91200
170;0.007504315002734074;116960
200;0.009262301999115152;161600
250;0.005985116000374546;252000
300;0.014202303998899879;362400
400;0.026086031000886578;643200
500;0.009251315997971687;1004000
1000;0.03133162599988282;4008000
1500;0.05776373700064141;9012000
2000;0.1043072239990579;16016000
2500;0.2146032179989561;25020000
3000;0.345873305999703;36024000
4000;0.6363708470016718;64032000
5000;1.0995608709999942;100040000
10000;8.4081764069997;400080000
