2;0.00012942600005771965;64
3;5.977600085316226e-05;120
4;3.653200110420585e-05;192
5;3.375399683136493e-05;280
10;3.622800068114884e-05;960
15;5.9336001868359745e-05;2040
20;0.0015798620006535202;3520
30;0.01409927799977595;7680
40;0.0002798179993988015;13440
50;0.0058172200006083585;20800
80;0.0071294980007223785;52480
90;0.014477593002084177;66240
100;0.004650618000596296;81600
110;0.026285493000614224;98560
120;0.12162116399849765;117120
150;0.09840494899981422;182400
170;0.013177190001442796;233920
200;0.10428877400045167;323200
250;0.12816143899908639;504000
300;0.02234742200016626;724800
400;0.1211069309974846;1286400
500;0.10377047400106676;2008000
1000;0.15600190499753808;8016000
1500;0.2376417939995008;18024000
2000;0.5102799430023879;32032000
2500;0.7603606240008958;50040000
3000;1.710166479999316;72048000
4000;4.116664641998796;128064000
5000;9.037594147001073;200080000
10000;62.24723979600094;800160000
