2;0.040887760998884914;32
3;0.00015270000221789815;60
4;0.00015544199777650647;96
5;0.00016398200023104437;140
10;0.00012570800026878715;480
15;7.48169986763969e-05;1020
20;0.007317882998904679;1760
30;0.00018714900215854868;3840
40;0.000203384999622358;6720
50;0.00016395599959651008;10400
80;0.0004734390022349544;26240
90;0.0021567570001934655;33120
100;0.0012893000020994805;40800
110;0.0007925819991214667;49280
120;0.001013376000628341;58560
150;0.0015249800017045345;91200
170;0.003335406003316166;116960
200;0.002031055999395903;161600
250;0.003212826999515528;252000
300;0.0033228789980057627;362400
400;0.005952007999439957;643200
500;0.008244529999501538;1004000
1000;0.029087421000440372;4008000
1500;0.061442248999810545;9012000
2000;0.08884850499816821;16016000
2500;0.18292160300188698;25020000
3000;0.2818841890002659;36024000
4000;0.5739397779980209;64032000
5000;0.9513699089984584;100040000
10000;6.648298328000237;400080000
