2;0.00018304699915461242;64
3;6.765099897165783e-05;120
4;7.355300112976693e-05;192
5;5.383800089475699e-05;280
10;6.83029975334648e-05;960
15;8.157500269589946e-05;2040
20;0.00034051600232487544;3520
30;0.00018326099961996078;7680
40;0.0002529009980207775;13440
50;0.00647482899876195;20800
80;0.00867664900215459;52480
90;0.006849278001027415;66240
100;0.007233698997879401;81600
110;0.00832530000116094;98560
120;0.0018274190006195568;117120
150;0.011401705996831879;182400
170;0.00879789700047695;233920
200;0.008135987001878675;323200
250;0.03450509600224905;504000
300;0.014433885000471491;724800
400;0.008393912998144515;1286400
500;0.013098543997330125;2008000
1000;0.045752660000289325;8016000
1500;0.10142406699742423;18024000
2000;0.22020628699829103;32032000
2500;0.3704895060000126;50040000
3000;0.5471923790028086;72048000
4000;1.145301903001382;128064000
5000;2.0407194059989706;200080000
10000;15.974068136001733;800160000
