2;0.02141027600009693;64
3;0.00016930700076045468;144
4;6.199000017659273e-05;256
5;5.517999852600042e-05;400
10;5.9301000874256715e-05;1600
15;0.00018678500055102631;3600
20;9.792399941943586e-05;6400
30;0.00016528000014659483;14400
40;0.0001697569987300085;25600
50;0.00023869899996498134;40000
80;0.0004973579998477362;102400
90;0.0005303210000420222;129600
100;0.0005809760004922282;160000
110;0.0006671200007986045;193600
120;0.0007326140002987813;230400
150;0.0010841700004675658;360000
170;0.001244363000296289;462400
200;0.0016932310008996865;640000
250;0.00312366700018174;1000000
300;0.003650094000477111;1440000
400;0.007444894999935059;2560000
500;0.011362148999978672;4000000
1000;0.11865819299964642;16000000
1500;0.20755345100042177;36000000
2000;0.5210643020000134;64000000
2500;0.8646648039994034;100000000
