2;0.00016899299953365698;64
3;4.958899808116257e-05;120
4;6.070900053600781e-05;192
5;6.761300028301775e-05;280
10;6.492499960586429e-05;960
15;6.513300104415976e-05;2040
20;6.20339997112751e-05;3520
30;7.632500273757614e-05;7680
40;0.0005383869975048583;13440
50;0.0018254050010000356;20800
80;0.00969339700168348;52480
90;0.007050731997878756;66240
100;0.0027349500014679506;81600
110;0.002166769001632929;98560
120;0.001025465000566328;117120
150;0.002985681003337959;182400
170;0.001151330001448514;233920
200;0.0025086200002988335;323200
250;0.0021629799994116183;504000
300;0.0033083299967984203;724800
400;0.006942721000086749;1286400
500;0.01087456000095699;2008000
1000;0.033553847002622206;8016000
1500;0.09027276799679385;18024000
2000;0.16077682099785306;32032000
2500;0.279442407998431;50040000
3000;0.4379721570003312;72048000
4000;0.8712405349979235;128064000
5000;1.463493857998401;200080000
10000;11.938076259000809;800160000
