2;0.000172760002897121;32
3;8.225700003094971e-05;60
4;5.537300239666365e-05;96
5;7.192799967015162e-05;140
10;0.0012349620010354556;480
15;0.0040567280011600815;1020
20;0.0020969099969079252;1760
30;0.0017710059983073734;3840
40;0.0018195519987784792;6720
50;0.0019267410025349818;10400
80;0.0019653380004456267;26240
90;0.0020450750016607344;33120
100;0.010573578998446465;40800
110;0.0027974120021099225;49280
120;0.0026267870016454253;58560
150;0.005504502001713263;91200
170;0.002839492000930477;116960
200;0.002965060997667024;161600
250;0.003257473999838112;252000
300;0.006345975001750048;362400
400;0.004616153000824852;643200
500;0.02577725800074404;1004000
1000;0.028993342999456218;4008000
1500;0.06944409700008691;9012000
2000;0.11428628199792001;16016000
2500;0.2048118839993549;25020000
3000;0.32210133600165136;36024000
4000;0.6340043960008188;64032000
5000;1.3117827060013951;100040000
10000;8.23381772599896;400080000
