2;0.00017543200010550208;64
3;5.440499808173627e-05;120
4;6.488800136139616e-05;192
5;6.625100286328234e-05;280
10;6.289600059972145e-05;960
15;6.259699875954539e-05;2040
20;0.005563611000980018;3520
30;0.02414728199801175;7680
40;0.0021872870020160917;13440
50;0.00158284400094999;20800
80;0.0017480159986007493;52480
90;0.004111911002837587;66240
100;0.00743795299786143;81600
110;0.008935076002671849;98560
120;0.007791234998876462;117120
150;0.0031370670003525447;182400
170;0.003075904998695478;233920
200;0.006472260000009555;323200
250;0.005488224000146147;504000
300;0.010478340998815838;724800
400;0.0048883439994824585;1286400
500;0.031128023001656402;2008000
1000;0.038618255999608664;8016000
1500;0.09008745199753321;18024000
2000;0.19717181099986192;32032000
2500;0.3667984819985577;50040000
3000;0.5419263809999393;72048000
4000;1.1587908959991182;128064000
5000;2.0557108630018774;200080000
10000;16.0557270850004;800160000
