2;0.004104843999812147;32
3;8.961200001067482e-05;72
4;4.4111999159213156e-05;128
5;4.040600106236525e-05;200
10;0.010547212999881594;800
15;0.00013844000022800174;1800
20;9.824000153457746e-05;3200
30;0.0001496660006523598;7200
40;0.00017946299885807093;12800
50;0.00023809799859009217;20000
80;0.0004304750000301283;51200
90;0.00043834999996761326;64800
100;0.0005023509984312113;80000
110;0.0006030680015101098;96800
120;0.0006790999996155733;115200
150;0.0009147869986918522;180000
170;0.0009986050008592429;231200
200;0.0013065489984001033;320000
250;0.0021056780005892506;500000
300;0.0025227719997928943;720000
400;0.0046620209996035555;1280000
500;0.0068484809999063145;2000000
1000;0.03453680199891096;8000000
1500;0.11804224799925578;18000000
2000;0.19996685499972955;32000000
2500;0.3722971850002068;50000000
